var,label,missing%,n_uniq,waves_ok
ca2603,임금 및 복리후생_월평균 소득,0.0,267,6
ca4102,차별경험_직장에서의 차별경험_2) 나이,0.0,3,6
ca4103,차별경험_직장에서의 차별경험_3) 장애,0.0,3,6
ca4104,"차별경험_직장에서의 차별경험_4) 학력, 학벌",0.0,3,6
ca4105,차별경험_직장에서의 차별경험_5) 출신지역,0.0,3,6
ca4106,차별경험_직장에서의 차별경험_6) 고용형태,0.0,3,6
ca2804,임금 및 복리후생_산재보험 가입현황,0.0,3,6
ca2901,임금 및 복리후생_복리후생제도 혜택여부_1) 퇴직(연)금,0.0,3,6
ca2902,임금 및 복리후생_복리후생제도 혜택여부_2) 상여금,0.0,3,6
ca2903,임금 및 복리후생_복리후생제도 혜택여부_3) 시간외 수당,0.0,3,6
ca2904,임금 및 복리후생_복리후생제도 혜택여부_4) 유급휴일·휴가,0.0,3,6
ca2905,임금 및 복리후생_복리후생제도 혜택여부_5) 병가(상병휴가),0.0,3,6
ca2906,임금 및 복리후생_복리후생제도 혜택여부_6) 출산휴가/육아휴직,0.0,3,6
ca2907,임금 및 복리후생_복리후생제도 혜택여부_7) 교육훈련,0.0,3,6
ca2908,임금 및 복리후생_복리후생제도 혜택여부_8) 상해보험,0.0,3,6
ca4001,차별경험_직장에서 응답자 장애 인지여부,0.0,5,6
ca4101,차별경험_직장에서의 차별경험_1) 성별,0.0,3,6
emppme,(가공) 비정규 근로자 여부(임금근로자),0.0,2,6
emptype02,(가공) 취업자 종사상 지위(5개 구분),0.0,3,6
f0601,자아존중감_1) 나는 다른 사람처럼 가치 있는 사람이라고 생각한다,0.0,5,6
f0602,자아존중감_2) 나는 좋은 성품을 가졌다고 생각한다,0.0,5,6
f0603,자아존중감_3) 나는 대체적으로 실패한 사람이라고 생각한다,0.0,5,6
ca4107,차별경험_직장에서의 차별경험_7) 경력,0.0,3,6
ca4108,"차별경험_직장에서의 차별경험_8) 직급, 직렬",0.0,3,6
f0605,자아존중감_5) 나는 자랑할 것이 별로 없다,0.0,5,6
f0604,자아존중감_4) 나는 다른 사람들만큼 일을 잘 할 수가 있다,0.0,5,6
f0606,자아존중감_6) 나는 내 자신에 대해 긍정적인 태도를 가지고 있다,0.0,5,6
f0701,장애수용정도_1) 장애인이기 때문에 사람들을 잘 사귀지 못한다,0.0,6,6
f0610,자아존중감_10) 나는 때때로 내가 좋지 않은 사람이라고 생각한다,0.0,5,6
f0609,자아존중감_9) 나는 가끔 내 자신이 쓸모 없는 사람이라는 느낌이 든다,0.0,5,6
f0608,자아존중감_8) 나는 나 자신을 좀 더 존중할 수 있으면 좋겠다,0.0,5,6
f0607,자아존중감_7) 나는 나 자신에 대하여 대체적으로 만족한다,0.0,5,6
jobctotal,(가공) 현재 지속 일자리 개수,0.0,3,6
jobtype,(가공) 주업 일자리 종류,0.0,2,6
type04,(가공) 장애유형(4개 구분),0.0,4,6
type06,(가공) 장애유형(6개 구분),0.0,6,6
g0401,생활습관_하루 평균 수면시간,0.0,11,6
f0702,장애수용정도_2) 장애 때문에 세상을 더 넓게 생각하게 되었다,0.0,6,6
f0703,장애수용정도_3) 장애 때문에 할 수 없는 일이 생기면 속상하다,0.0,6,6
f0704,장애수용정도_4) 나는 장애 때문에 괴로워하지 않는다,0.0,6,6
f0705,장애수용정도_5) 나는 장애인이지만 내 인생에 만족한다,0.0,6,6
f0706,장애수용정도_6) 장애 자체보다 인생을 어떻게 사느냐가 더 중요하다,0.0,6,6
f0707,장애수용정도_7) 장애는 내 인생에 가장 많은 영향을 미친다,0.0,6,6
f0708,장애수용정도_8) 장애 자체보다 정직이 더 중요하다,0.0,6,6
f0709,장애수용정도_9) 인생은 외모보다 훨씬 더 중요한 것들이 많다,0.0,6,6
f0710,장애수용정도_10) 장애인이라는 것을 잊고 살만큼 재미있는 일이 많다,0.0,6,6
f0711,장애수용정도_11) 장애를 가지고 있지만 내 인생은 부족함이 없다,0.0,6,6
f0712,장애수용정도_12) 장애 때문에 불편하지만 마음만 먹으면 무엇이든지 할 수 있다,0.0,6,6
g0101,건강상태_전반적인 건강상태,0.0,5,6
g0102,건강상태_작년과 비교한 건강상태,0.0,4,6
g0201,건강상태_장애 이외의 만성질병 여부,0.0,3,6
g0301,생활습관_1주일 평균 운동 일수,0.0,9,6
g0804,정신적 건강_행복 정도(10점 척도),0.0,11,6
g0501,생활습관_식사를 거르는 정도,0.0,4,6
g0502,생활습관_규칙적인 식사 여부,0.0,4,6
g0601,생활습관_평소 흡연 여부,0.0,4,6
g0701,생활습관_평소 음주 여부,0.0,4,6
g0801,정신적 건강_일상생활 중 스트레스 정도,0.0,6,6
g0802,정신적 건강_장애로 인한 스트레스 정도,0.0,6,6
g0803,정신적 건강_지난 1년 간 우울증 경험 유무,0.0,3,6
gender,성별,0.0,2,6
g0901,일상생활_타인의 도움이 필요한 정도,0.0,4,6
grade02,(가공) 중증 여부(장애인고용촉진 및 직업재활법),0.0,3,6
ca2504,근로시간_일일 근무시간,14.4,18,6
ca2502,근로시간_주당 근무일,15.1,8,6
ca1501,고용형태_일일근로 여부,22.8,2,6
